FlightDate,Atrasos,Cancelamentos,Cold,Fog,Rain,Snow,Storm
2019-05-22,-2002.0,184,19.0,631,-750.0,530,20
2019-05-23,2961.0,590,-28.0,574,-968.0,205,53
2019-05-24,-1212.0,157,11.0,776,434.0,75,10
2019-05-25,-3321.0,33,-8.0,704,-1185.0,5,14
2019-05-26,279.0,166,6.0,701,756.0,25,28
2019-05-27,1265.0,739,-8.0,702,563.0,42,42
2019-05-28,1222.0,873,0.0,557,-331.0,52,14
2019-05-29,323.0,1859,-5.0,617,-578.0,21,3
2019-05-30,309.0,712,1.0,842,161.0,10,13
2019-05-31,-1455.0,287,-15.0,858,-743.0,0,8
2019-06-01,-441.0,266,22.0,671,30.0,0,3
2019-06-02,1486.0,552,-17.0,727,37.0,0,11
2019-06-03,-1020.0,307,4.0,536,-463.0,2,7
2019-06-04,-994.0,210,16.0,432,254.0,4,13
2019-06-05,2246.0,495,22.0,590,2163.0,0,15
2019-06-06,-615.0,233,-7.0,1003,204.0,2,18
2019-06-07,196.0,283,-14.0,815,-345.0,14,28
2019-06-08,65.0,584,-28.0,632,-439.0,55,15
2019-06-09,1759.0,1272,5.0,578,727.0,3,44
2019-06-10,300.0,964,3.0,681,-707.0,0,8
2019-06-11,-1487.0,217,25.0,510,-501.0,0,1
2019-06-12,-335.0,294,-8.0,348,267.0,0,3
2019-06-13,1496.0,163,5.0,507,578.0,3,6
2019-06-14,-2098.0,114,-11.0,367,-1488.0,0,18
2019-06-15,-35.0,341,1.0,304,357.0,1,16
2019-06-16,2170.0,1124,9.0,794,1307.0,1,22
2019-06-17,220.0,713,10.0,982,-694.0,1,9
2019-06-18,-246.0,581,11.0,1121,755.0,1,7
2019-06-19,606.0,631,14.0,973,-487.0,1,14
2019-06-20,109.0,986,-3.0,932,910.0,14,39
2019-06-21,-758.0,473,-4.0,586,-1386.0,21,20
2019-06-22,-1861.0,319,20.0,384,-437.0,28,27
2019-06-23,1429.0,731,-27.0,551,1004.0,25,15
